Unnamed: 0,Spanish,Polish
4692,reconocer,rozpoznać
4693,desarrollo,rozwijanie
4694,contarte,Powiedz ci
4695,vomitar,Barf
4696,cazador,Łowca
4697,pesca,Wędkarstwo
4698,arco,kokarda
4699,wendy,Wendy
4700,llora,płacz
4701,abandonó,porzucenie
4702,supiste,Wiedziałaś
4703,abogada,prawnik
4704,fama,sława
4705,plano,mieszkanie
4706,elige,wybierać
4707,maíz,kukurydza
4708,remedio,zaradzić
4709,harta,dość
4710,maria,Maria
4711,muéstrame,Pokaż mi
4712,audrey,Audrey
4713,acostumbrado,przyzwyczajony
4714,green,Zielony
4715,leonard,Leonard
4716,disfraz,zwyczaj
4717,termino,termin
4718,hombros,ramiona
4719,química,chemia
4720,vela,świeca
4721,muelle,dok
4722,tiroteo,strzelanie
4723,dirigir,kierować
4724,enterrado,pochowany
4725,acento,akcent
4726,psiquiatra,psychiatra
4727,escoger,wybierać
4728,estupenda,Świetnie
4729,canadá,Kanada
4730,indica,wskazuje
4731,deudas,długi
4732,subiendo,W górę
4733,bla,Bla
4734,desayunar,zjeść śniadanie
4735,tomaron,Zabrali
4736,fines,cele
4737,espíritus,Duchy
4738,ingeniero,inżynier
4739,cráneo,czaszka
4740,desesperado,zdesperowany
4741,baby,Kochanie
4742,separados,rozdzielony
4743,queja,skarżyć się
4744,jugada,ruszaj się
4745,bajando,Zejście
4746,signos,oznaki
4747,dirías,Powiedziałbyś
4748,von,von
4749,buscaré,poszukam
4750,comen,jeść
4751,hong,Hong
4752,pediré,zapytam
4753,documento,dokument
4754,descripción,opis
4755,tercero,trzeci
4756,estructura,Struktura
4757,rehenes,zakładnicy
4758,lleguen,przyjechać
4759,botellas,butelki
4760,encuentren,odnaleźć
4761,bomberos,strażak
4762,horno,piekarnik
4763,préstamo,pożyczka
4764,black,Czarny
4765,tratamos,Traktujemy
4766,autopsia,autopsja
4767,ocupados,zajęty
4768,penny,Grosz
4769,metí,włożyłem
4770,pares,rówieśnicy
4771,propietario,właściciel
4772,supieras,Wiedziałaś
4773,adecuada,odpowiedni
4774,cuarenta,Czterdzieści
4775,profesión,zawód
4776,británico,brytyjski
4777,exámenes,egzaminy
4778,tracy,Tracy
4779,evan,Evan
4780,seth,Seth
4781,moleste,niepokoić
4782,agosto,Sierpień
4783,logró,osiągnięcie
4784,marchar,Maszerować
4785,logan,Logan
4786,crecido,dorosły
4787,representante,przedstawiciel
4788,empiezas,Ty zaczynasz
4789,tareas,obowiązki
4790,gabriel,Gabriel
4791,vodka,wódka
4792,dí,dał
4793,re,odnośnie
4794,terribles,straszny
4795,infeliz,nieszczęśliwy
4796,enormes,olbrzymi
4797,geniales,Świetnie
4798,generoso,hojny
4799,brindis,toast
4800,rita,Rita
4801,directa,bezpośredni
4802,hacéis,Ty robisz
4803,actualmente,w tej chwili
4804,rifle,karabin
4805,casino,kasyno
4806,logro,osiągnięcie
4807,trajeron,Przynieśli
4808,celos,zazdrość
4809,artículos,artykuły
4810,estable,stały
4811,escuadrón,eskadra
4812,ciudadano,obywatel
4813,colin,Colin
4814,sospecha,podejrzenie
4815,violento,brutalny
4816,engañado,oszukany
4817,relacionado,związane z
4818,niega,zaprzecza
4819,vietnam,Wietnam
4820,batman,Ordynans
4821,vendió,sprzedany
4822,ralph,Ralph
4823,chaval,dziecko
4824,macho,mężczyzna
4825,allison,Allison
4826,menores,Nieletni
4827,constantemente,stale
4828,conozca,Wiedzieć
4829,directora,dyrektor
4830,borracha,pijany
4831,ventas,sprzedaż
4832,alivio,ulga
4833,trauma,uraz
4834,enseñarte,uczyć cię
4835,estadounidenses,Amerykanie
4836,necesidades,wymagania
4837,bart,Bart
4838,exposición,ekspozycja
4839,negociar,sprawa
4840,todavia,już
4841,explicarlo,Wyjaśnić
4842,copas,Kubki
4843,golpea,uderzyć
4844,edificios,Budynki
4845,región,region
4846,duros,Ciężko
4847,moviendo,poruszający
4848,kitty,Koteczek
4849,aman,kocham
4850,kong,Kong
4851,ford,Bród
4852,shh,Shh
4853,lógica,logika
4854,eligió,wybrany
4855,sammy,Sammy
4856,sangrando,wykrwawiać się
4857,jefes,Szefowie
4858,comió,jedli
4859,traducido,przetłumaczony
4860,narices,nos
4861,deberes,Praca domowa
4862,grito,krzyk
4863,empresas,Biznes
4864,contactos,Łączność
4865,engaño,oszukany
4866,acusación,oskarżenie
4867,cirujano,chirurg
4868,pagando,intratny
4869,cenizas,proch
4870,retraso,opóźnienie
4871,asesinar,morderstwo
4872,mentí,kłamałem
4873,imaginas,Wyobrażasz sobie
4874,haciéndolo,robić to
4875,ocurriendo,wydarzenie
4876,pechos,Piersi
4877,solicitud,żądanie
4878,enfermedades,Choroby
4879,soporto,stał
4880,buscarla,Poszukaj jej
4881,mona,małpa
4882,fresca,świeży
4883,prioridad,priorytet
4884,mentes,umysły
4885,francos,Franks
4886,rumor,plotka
4887,confías,Ty ufasz
4888,dibujo,Narysował
4889,saliste,Czy wyszedłeś
4890,contaste,Powiedziałeś
4891,buscarte,szukać Cię
4892,prefiere,preferują
4893,almirante,admirał
4894,gastar,wydać
4895,vendrás,Ty przyjdziesz
4896,use,Posługiwać się
4897,craig,Craig
4898,warren,Królikarnia
4899,conjunto,ustawić
4900,profesionales,profesjonaliści
4901,ciertos,niektóre
4902,verdes,Zielony
4903,invitó,zaproszony
4904,alumnos,studenci
4905,presentó,przedstawione
4906,informar,raport
4907,cortó,niski
4908,maya,Maya
4909,apagar,wyłączyć
4910,malditas,Cholera
4911,harían,Zrobiliby
4912,nelson,Nelson
4913,besos,Pocałunki
4914,graciosa,zabawny
4915,chinos,chiński
4916,noviembre,listopad
4917,invisible,niewidzialny
4918,contarme,powiedz mi
4919,economía,gospodarka
4920,logramos,Osiągnęliśmy
4921,combinación,połączenie
4922,enfermos,chory
4923,conectado,połączony
4924,sucederá,To się stanie
4925,asumir,zakładać
4926,rusa,Rosyjski
4927,habitual,zwykły
4928,id,ID
4929,posesión,posiadanie
4930,inténtalo,Spróbuj
4931,ministerio,ministerstwo
4932,saludable,zdrowy
4933,firmado,podpisane
4934,oreja,ucho
4935,calientes,gorący
4936,personajes,postacie
4937,liberar,wydanie
4938,cogió,Wziął
4939,toro,byk
4940,pintar,malować
4941,eternidad,wieczność
4942,similar,Podobnie
4943,sobrina,siostrzenica
4944,tortura,torturować
4945,máxima,maksymalny
4946,franco,Szczery
4947,earl,Hrabia
4948,raras,Rzadki
4949,paige,Paige
4950,espérame,zaczekaj na mnie
4951,nene,Dziecko
4952,deportes,Sporty
4953,sígueme,Chodź za mną
4954,sra,Pani
4955,pulmones,płuca
4956,cuánta,Ile
4957,necesitaremos,Będziemy potrzebować
4958,isabel,Brunatnożółty
4959,acabará,To się skończy
4960,manzanas,jabłka
4961,ratón,mysz
4962,eléctrica,Elektryczny
4963,ee,Ee
4964,productor,producent
4965,quédense,Zostawać
4966,demuestra,przedstawia
4967,lauren,Lauren
4968,eventos,wydarzenia
4969,entendiste,Zrozumiałeś
4970,v,v
4971,reciente,ostatni
4972,empiezan,Oni zaczęli
4973,pasaste,Zdałeś
4974,enfrentar,sprawa
4975,dejaba,wyszedłem
4976,escucharme,Posłuchaj mnie
4977,apariencia,wygląd zewnętrzny
4978,aves,ptaki
4979,radiación,promieniowanie
4980,advierto,ostrzegam
4981,quemado,Spalony
4982,corea,Korea
4983,sandy,Piaszczysty
4984,síntomas,objaw
4985,japoneses,język japoński
4986,kurt,Kurt
4987,juzgar,sędzia
4988,adrian,Adrian
4989,cervezas,piwo
4990,quemar,spalić
4991,kent,Kent
4992,marzo,Marsz
